2/13/2024, 4:00 PM						
User Name						
Experimental Description						
Header A (units)	Header B (u)	Header C (u)	Header D (u)			
0.138988	350.000000	33.767840	339.918768	350.000000	0.200000	1.000000
0.139488	350.000000	33.936792	339.787255	350.000000	0.200000	1.000000
0.139988	350.000000	34.106314	339.668708	350.000000	0.200000	1.000000
0.140488	350.000000	34.276031	339.587123	350.000000	0.200000	1.000000
0.140991	350.000000	34.445986	339.495789	350.000000	0.200000	1.000000
0.141491	350.000000	34.616215	339.385438	350.000000	0.200000	1.000000
0.141991	350.000000	34.786379	339.083989	350.000000	0.200000	1.000000
0.142491	350.000000	34.956560	338.606275	350.000000	0.200000	1.000000
0.142991	350.000000	35.127186	338.016449	350.000000	0.200000	1.000000
0.143491	350.000000	35.298248	337.421741	350.000000	0.200000	1.000000
0.143991	350.000000	35.469371	336.915635	350.000000	0.200000	1.000000
0.144491	350.000000	35.640238	336.568596	350.000000	0.200000	1.000000
0.144991	350.000000	35.810589	336.404641	350.000000	0.200000	1.000000
0.145491	350.000000	35.980575	336.420708	350.000000	0.200000	1.000000
0.145991	350.000000	36.150690	336.618028	350.000000	0.200000	1.000000
0.146492	350.000000	36.321347	336.992506	350.000000	0.200000	1.000000
0.146992	350.000000	36.492519	337.509108	350.000000	0.200000	1.000000
0.147492	350.000000	36.663817	338.111329	350.000000	0.200000	1.000000
0.147992	350.000000	36.834912	338.722753	350.000000	0.200000	1.000000
0.148492	350.000000	37.005530	339.286537	350.000000	0.200000	1.000000
0.148992	350.000000	37.175813	339.773702	350.000000	0.200000	1.000000
0.149492	350.000000	37.346246	340.193235	350.000000	0.200000	1.000000
0.149992	350.000000	37.517233	340.543126	350.000000	0.200000	1.000000
0.150492	350.000000	37.688741	340.777190	350.000000	0.200000	1.000000
0.150992	350.000000	37.860375	340.931101	350.000000	0.200000	1.000000
0.151493	350.000000	38.032163	340.858401	350.000000	0.200000	1.000000
0.151993	350.000000	38.204126	340.732979	350.000000	0.200000	1.000000
0.152494	350.000000	38.375917	340.527654	350.000000	0.200000	1.000000
0.152994	350.000000	38.547611	340.343247	350.000000	0.200000	1.000000
0.153494	350.000000	38.719272	340.280322	350.000000	0.200000	1.000000
0.153994	350.000000	38.890591	340.410562	350.000000	0.200000	1.000000
0.154494	350.000000	39.061677	340.717865	350.000000	0.200000	1.000000
0.154994	350.000000	39.232987	341.070134	350.000000	0.200000	1.000000
0.155494	350.000000	39.404539	341.345151	350.000000	0.200000	1.000000
0.155994	350.000000	39.575979	341.541573	350.000000	0.200000	1.000000
0.156494	350.000000	39.747379	341.724792	350.000000	0.200000	1.000000
0.156994	350.000000	39.919159	341.936001	350.000000	0.200000	1.000000
0.157494	350.000000	40.091303	342.180550	350.000000	0.200000	1.000000
0.157994	350.000000	40.263433	342.447322	350.000000	0.200000	1.000000
0.158494	350.000000	40.435591	342.653081	350.000000	0.200000	1.000000
0.158994	350.000000	40.607814	342.715149	350.000000	0.200000	1.000000
0.159495	350.000000	40.779770	342.653022	350.000000	0.200000	1.000000
0.159995	350.000000	40.951546	342.548081	350.000000	0.200000	1.000000
0.160495	350.000000	41.123580	342.452383	350.000000	0.200000	1.000000
0.160995	350.000000	41.295874	342.367444	350.000000	0.200000	1.000000
