3/14/2024, 4:29 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.082915	113.000000	31.876235	729.487288	113.000000	0.250000	1.000000	649.314897	1.000000
0.083415	113.000000	32.247960	730.842968	113.000000	0.250000	1.000000	645.928508	1.000000
0.083932	113.000000	32.619672	732.429048	113.000000	0.250000	1.000000	642.430223	1.000000
0.084432	113.000000	32.991785	735.364958	113.000000	0.250000	1.000000	638.967214	1.000000
0.084936	113.000000	33.364998	737.741354	113.000000	0.250000	1.000000	635.525029	1.000000
0.085436	113.000000	33.739159	739.754970	113.000000	0.250000	1.000000	632.131328	1.000000
0.085936	113.000000	34.114125	741.076873	113.000000	0.250000	1.000000	628.786221	1.000000
0.086436	113.000000	34.489766	741.719934	113.000000	0.250000	1.000000	625.491675	1.000000
0.086936	113.000000	34.865238	741.751756	113.000000	0.250000	1.000000	622.238454	1.000000
0.087436	113.000000	35.239838	741.364216	113.000000	0.250000	1.000000	619.005391	1.000000
0.087936	113.000000	35.613713	740.804749	113.000000	0.250000	1.000000	615.776267	1.000000
0.088436	113.000000	35.987360	740.221138	113.000000	0.250000	1.000000	612.544276	1.000000
0.088944	113.000000	36.360835	739.691956	113.000000	0.250000	1.000000	609.255831	1.000000
0.089444	113.000000	36.733827	739.918603	113.000000	0.250000	1.000000	605.965928	1.000000
0.089945	113.000000	37.106082	740.243973	113.000000	0.250000	1.000000	602.670065	1.000000
0.090445	113.000000	37.477396	740.746218	113.000000	0.250000	1.000000	599.362793	1.000000
0.090945	113.000000	37.847614	741.510202	113.000000	0.250000	1.000000	596.033004	1.000000
0.091445	113.000000	38.216984	742.647203	113.000000	0.250000	1.000000	592.674142	1.000000
0.091945	113.000000	38.586087	744.175335	113.000000	0.250000	1.000000	589.292201	1.000000
0.092445	113.000000	38.955053	746.005893	113.000000	0.250000	1.000000	585.898752	1.000000
0.092945	113.000000	39.323630	748.022336	113.000000	0.250000	1.000000	582.500061	1.000000
0.093445	113.000000	39.691610	750.169084	113.000000	0.250000	1.000000	579.100734	1.000000
0.093945	113.000000	40.058832	752.406634	113.000000	0.250000	1.000000	575.900846	1.000000
0.094445	113.000000	40.425168	752.257124	113.000000	0.250000	1.000000	572.733610	1.000000
0.094945	113.000000	40.790528	751.807735	113.000000	0.250000	1.000000	569.625838	1.000000
0.095445	113.000000	41.154846	750.731463	113.000000	0.250000	1.000000	566.530291	1.000000
0.095945	113.000000	41.518447	749.581195	113.000000	0.250000	1.000000	563.432785	1.000000
0.096445	113.000000	41.881976	748.463255	113.000000	0.250000	1.000000	560.331145	1.000000
0.097027	113.000000	42.245611	747.385310	113.000000	0.250000	1.000000	556.765482	1.000000
0.097527	113.000000	42.609498	752.058359	113.000000	0.250000	1.000000	553.395278	1.000000
0.098027	113.000000	42.974120	754.217074	113.000000	0.250000	1.000000	550.178891	1.000000
