3/14/2024, 9:08 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.102067	113.000000	48.443766	64.131905	113.000000	0.250000	1.000000	585.042050	1.000000
0.102567	113.000000	48.868095	63.712460	113.000000	0.250000	1.000000	580.208145	1.000000
0.103067	113.000000	49.287540	63.297387	113.000000	0.250000	1.000000	575.598334	1.000000
0.103567	113.000000	49.702613	62.886192	113.000000	0.250000	1.000000	571.157086	1.000000
0.104073	113.000000	50.113808	62.478405	113.000000	0.250000	1.000000	566.837153	1.000000
0.104573	113.000000	50.521595	62.073947	113.000000	0.250000	1.000000	563.017446	1.000000
0.105073	113.000000	50.926053	61.673064	113.000000	0.250000	1.000000	559.357686	1.000000
0.105573	113.000000	51.326936	61.275550	113.000000	0.250000	1.000000	555.831044	1.000000
0.106073	113.000000	51.724450	60.880819	113.000000	0.250000	1.000000	552.404521	1.000000
0.106573	113.000000	52.119181	60.488343	113.000000	0.250000	1.000000	549.049932	1.000000
0.107073	113.000000	52.511657	60.098007	113.000000	0.250000	1.000000	545.754360	1.000000
0.107573	113.000000	52.901993	59.710048	113.000000	0.250000	1.000000	542.512889	1.000000
0.108073	113.000000	53.289952	59.324628	113.000000	0.250000	1.000000	539.317257	1.000000
0.108573	113.000000	53.675372	58.941484	113.000000	0.250000	1.000000	536.152094	1.000000
0.109073	113.000000	54.058516	58.560003	113.000000	0.250000	1.000000	532.999599	1.000000
0.109573	113.000000	54.439997	58.180369	113.000000	0.250000	1.000000	529.849064	1.000000
0.110073	113.000000	54.819631	57.802711	113.000000	0.250000	1.000000	526.690886	1.000000
0.110574	113.000000	55.197289	57.426383	113.000000	0.250000	1.000000	523.513562	1.000000
0.111074	113.000000	55.573617	57.051550	113.000000	0.250000	1.000000	520.310225	1.000000
0.113413	113.000000	55.948450	56.672897	113.000000	0.250000	1.000000	507.846694	1.000000
0.113913	113.000000	56.327103	56.280233	113.000000	0.250000	1.000000	502.826249	1.000000
0.114413	113.000000	56.719767	55.871386	113.000000	0.250000	1.000000	499.380289	1.000000
0.114913	113.000000	57.128614	55.450207	113.000000	0.250000	1.000000	496.762663	1.000000
0.115413	113.000000	57.549793	55.020097	113.000000	0.250000	1.000000	494.887999	1.000000
0.115913	113.000000	57.979903	54.584032	113.000000	0.250000	1.000000	493.809856	1.000000
0.116413	113.000000	58.415968	54.144229	113.000000	0.250000	1.000000	493.535674	1.000000
0.116915	113.000000	58.855771	53.702236	113.000000	0.250000	1.000000	493.992113	1.000000
