3/14/2024, 4:32 PM								
User Name								
Experimental Description								
Header A (units)	Header B (u)	Header C (u)	Header D (u)					
0.054520	113.000000	6.915477	463.190006	113.000000	0.250000	1.000000	1028.901017	1.000000
0.055020	113.000000	7.210015	483.313862	113.000000	0.250000	1.000000	1024.966801	1.000000
0.055520	113.000000	7.504982	499.722893	113.000000	0.250000	1.000000	1021.212266	1.000000
0.056020	113.000000	7.800744	513.004866	113.000000	0.250000	1.000000	1017.606872	1.000000
0.056520	113.000000	8.097957	523.559339	113.000000	0.250000	1.000000	1014.127203	1.000000
0.057020	113.000000	8.396787	531.748858	113.000000	0.250000	1.000000	1010.753433	1.000000
0.057520	113.000000	8.696987	537.944940	113.000000	0.250000	1.000000	1007.462133	1.000000
0.058020	113.000000	8.998332	542.575736	113.000000	0.250000	1.000000	1004.230845	1.000000
0.058520	113.000000	9.300254	546.110235	113.000000	0.250000	1.000000	1001.033959	1.000000
0.059020	113.000000	9.602993	548.935164	113.000000	0.250000	1.000000	997.846583	1.000000
0.059520	113.000000	9.907463	551.313126	113.000000	0.250000	1.000000	994.650568	1.000000
0.060020	113.000000	10.213679	553.543981	113.000000	0.250000	1.000000	991.425972	1.000000
0.060520	113.000000	10.521268	556.022511	113.000000	0.250000	1.000000	988.158990	1.000000
0.061020	113.000000	10.829895	559.034343	113.000000	0.250000	1.000000	984.833945	1.000000
0.061520	113.000000	11.139991	562.769081	113.000000	0.250000	1.000000	981.430929	1.000000
0.062020	113.000000	11.452619	567.381288	113.000000	0.250000	1.000000	977.934661	1.000000
0.062521	113.000000	11.768271	573.043781	113.000000	0.250000	1.000000	974.309056	1.000000
0.063021	113.000000	12.086590	580.417458	113.000000	0.250000	1.000000	971.037250	1.000000
0.063521	113.000000	12.406875	581.566651	113.000000	0.250000	1.000000	967.747243	1.000000
0.064021	113.000000	12.728876	582.733323	113.000000	0.250000	1.000000	964.426178	1.000000
0.064521	113.000000	13.053080	584.050362	113.000000	0.250000	1.000000	961.070010	1.000000
0.065021	113.000000	13.379865	585.522344	113.000000	0.250000	1.000000	957.684251	1.000000
0.065521	113.000000	13.708785	587.131718	113.000000	0.250000	1.000000	954.271514	1.000000
0.066021	113.000000	14.039435	588.902346	113.000000	0.250000	1.000000	950.821778	1.000000
